      1.,      1.,      3.,No
      2.,      3.,      4.,No
      3.,      4.,      5.,No
      4.,      5.,      6.,No
      5.,      6.,      7.,No
      6.,      7.,      8.,No
      7.,      8.,      9.,No
      8.,      9.,      2.,No
      9.,     10.,     12.,No
     10.,     12.,     13.,No
     11.,     13.,     14.,No
     12.,     14.,     15.,No
     13.,     15.,     16.,No
     14.,     16.,     17.,No
     15.,     17.,     18.,No
     16.,     18.,     11.,No
     17.,     19.,     21.,No
     18.,     21.,     22.,No
     19.,     22.,     23.,No
     20.,     23.,     24.,No
     21.,     24.,     25.,No
     22.,     25.,     26.,No
     23.,     26.,     27.,No
     24.,     27.,     20.,No
     25.,     28.,     30.,No
     26.,     30.,     31.,No
     27.,     31.,     32.,No
     28.,     32.,     33.,No
     29.,     33.,     34.,No
     30.,     34.,     35.,No
     31.,     35.,     36.,No
     32.,     36.,     29.,No
