     44.,GLOBAL,Cartesian,-16.46284866,         7.21085118,        15.26480790,Yes,   -16.46284866,         7.21085118,        15.26480790
     45.,GLOBAL,Cartesian, 19.00000000,         0.00000000,       -16.50000000,Yes,    19.00000000,         0.00000000,       -16.50000000
     46.,GLOBAL,Cartesian, 17.73142433,         3.60542559,       -15.88240395,Yes,    17.73142433,         3.60542559,       -15.88240395
     47.,GLOBAL,Cartesian, 16.46284866,         7.21085118,       -15.26480790,Yes,    16.46284866,         7.21085118,       -15.26480790
     48.,GLOBAL,Cartesian, 19.00000000,         0.00000000,        16.50000000,Yes,    19.00000000,         0.00000000,        16.50000000
     49.,GLOBAL,Cartesian, 17.73142433,         3.60542559,        15.88240395,Yes,    17.73142433,         3.60542559,        15.88240395
     50.,GLOBAL,Cartesian, 16.46284866,         7.21085118,        15.26480790,Yes,    16.46284866,         7.21085118,        15.26480790
     51.,GLOBAL,Cartesian,  1.40498988,        50.00687088,        -7.93400823,Yes,     1.40498988,        50.00687088,        -7.93400823
     52.,GLOBAL,Cartesian,  2.32439323,        47.39382976,        -8.38161250,Yes,     2.32439323,        47.39382976,        -8.38161250
     53.,GLOBAL,Cartesian, -1.40498988,        50.00687088,         7.93400823,Yes,    -1.40498988,        50.00687088,         7.93400823
     54.,GLOBAL,Cartesian, -2.32439323,        47.39382976,         8.38161250,Yes,    -2.32439323,        47.39382976,         8.38161250
     55.,GLOBAL,Cartesian,  1.40498988,        50.00687088,         7.93400823,Yes,     1.40498988,        50.00687088,         7.93400823
     56.,GLOBAL,Cartesian,  2.32439323,        47.39382976,         8.38161250,Yes,     2.32439323,        47.39382976,         8.38161250
     57.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         5.39000000,Yes,    -0.00000000,        54.00000000,         5.39000000
     58.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         0.00000000,Yes,    -0.00000000,        54.00000000,         0.00000000
     59.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         4.90000000,Yes,    -0.00000000,        54.00000000,         4.90000000
     60.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         4.41000000,Yes,    -0.00000000,        54.00000000,         4.41000000
     61.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         3.92000000,Yes,    -0.00000000,        54.00000000,         3.92000000
     62.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         3.43000000,Yes,    -0.00000000,        54.00000000,         3.43000000
     63.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         2.94000000,Yes,    -0.00000000,        54.00000000,         2.94000000
     64.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         2.45000000,Yes,    -0.00000000,        54.00000000,         2.45000000
     65.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         1.96000000,Yes,    -0.00000000,        54.00000000,         1.96000000
     66.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         1.47000000,Yes,    -0.00000000,        54.00000000,         1.47000000
     67.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         0.98000000,Yes,    -0.00000000,        54.00000000,         0.98000000
     68.,GLOBAL,Cartesian, -0.00000000,        54.00000000,         0.49000000,Yes,    -0.00000000,        54.00000000,         0.49000000
     69.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -5.39000000,Yes,    -0.00000000,        54.00000000,        -5.39000000
     70.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -4.90000000,Yes,    -0.00000000,        54.00000000,        -4.90000000
     71.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -4.41000000,Yes,    -0.00000000,        54.00000000,        -4.41000000
     72.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -3.92000000,Yes,    -0.00000000,        54.00000000,        -3.92000000
     73.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -3.43000000,Yes,    -0.00000000,        54.00000000,        -3.43000000
     74.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -2.94000000,Yes,    -0.00000000,        54.00000000,        -2.94000000
     75.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -2.45000000,Yes,    -0.00000000,        54.00000000,        -2.45000000
     76.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -1.96000000,Yes,    -0.00000000,        54.00000000,        -1.96000000
     77.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -1.47000000,Yes,    -0.00000000,        54.00000000,        -1.47000000
     78.,GLOBAL,Cartesian, -0.00000000,        54.00000000,        -0.98000000,Yes,    -0.00000000,        54.00000000,        -0.98000000
