     53.,     57.,     59.,No
     54.,     59.,     60.,No
     55.,     60.,     61.,No
     56.,     61.,     62.,No
     57.,     62.,     63.,No
     58.,     63.,     64.,No
     59.,     64.,     65.,No
     60.,     65.,     66.,No
     61.,     66.,     67.,No
     62.,     67.,     68.,No
     63.,     68.,     58.,No
     64.,     69.,     70.,No
     65.,     70.,     71.,No
     66.,     71.,     72.,No
     67.,     72.,     73.,No
     68.,     73.,     74.,No
     69.,     74.,     75.,No
     70.,     75.,     76.,No
     71.,     76.,     77.,No
     72.,     77.,     78.,No
     73.,     78.,     79.,No
     74.,     79.,     58.,No
